id,sentence
138,"Вот честное слово, жалко, что каждый раз ему выступать первый перед, если можно так выразиться, неразогретым залом."
139,"Нельзя ни к кому не обращаться, когда ты нуждаешься в помощи."
140,В Белоруссии либеральных газет не осталось.
141,Отопление два дня было выключено.
142,По окончанию института наши выпускники могут рассчитывать на трудоустройство в профильных компаниях.
143,После этого он утратил какой бы то ни было интерес к происходящему.
144,Около флакона духов стояла пудреница.
145,"Кому ты хочешь, чтобы я достал книгу?"
146,Дружное нападение нашего войска решило исход дела.
147,Его внимание остановилось на небольшой картине в углу.
148,"Надо тебе заметить, что в доме у нее порядок."
149,Он дошел от Казани.
150,Это пальто они покупали вместе.
151,"Не думаю, чтобы он что-либо изменил."
152,У нас фамилии и имена начинались с одной буквы.
153,Ты не должен ей потакать.
154,Люди не любят правду.
155,Этот выстрел решил мою судьбу –– я стал стрелком.
156,Приносить спиртные напитки и распивать их запрещается.
157,Осмотр дома он начал почему-то со двора.
158,"Линолеум можно оставить у нас, а насчет краски что-нибудь придумаем."
159,Что-то треснуло в овраге –– это медведь.
160,"Это наш корреспондент, который сейчас находится в городе, который подвергся бомбардировке."
161,"Деньги, которые он тебе дал, его собственные."
162,За каменной высокой стеной находятся бывшие архиерейские палаты.
163,"Получив данные, будет выбран самый благоприятный момент для нанесения удара."
164,Он принял чужое имя.
165,"Может быть, нам открыть окно, чтобы как следует проветрить комнату?"
166,Она приняла ребенка к себе на руки.
167,"Отними ружье у Антошки, я приказываю тебе."
168,Иван взял с собой плащ или куртку.
169,Для настоящего альпиниста штурм этой вершины не представляет затруднений.
170,Мощность C множества А превосходит мощность С множества В.
171,Сразу по приезду в Коломну боярин Всеволожский был схвачен и закован в железо.
172,Он берет уроки русского языка.
173,Я прочел уже больше половины книги.
174,"Как узнаешь, звони в 210 номер."
175,Коля нигде не был.
176,Доставляли мы в санбат?
177,Она живет в маленьком городе близ Москвы.
178,Железная ограда ее окружает.
179,Жене моей нездоровится.
180,Меня включили заниматься этой проблемой.
181,Мяч уходит на угловой.
182,"Нож резал плохо, у меня вся рука в мозолях."
183,Книга была охотно продана студенту букинистом.
184,"Учреждённая лига группой экспертов, считающих себя независимыми, готовится предоставлять практически любые виды услуг."
185,"Ведь если бежать с ускорением, прыгуну сообщится больше энергии, и он прыгнет более выше."
186,Молодое поколение художников стремится и выбирает для себя новые ценности и ориентиры в искусстве.
187,"Рядом с тем местом, где стоял стул, лежал маленький коврик."
188,"Она сидела так далеко от меня, что я не видел, когда она ушла."
189,"Он пробежал эту дистанцию за 10 секунд и, таким образом, взял преимущество над своими соперниками."
190,Ты не будешь больше сюда ходить.
191,Бóльшая часть продуктов хранилась в морозильной камере.
192,Я часто вспоминаю Лёшины печальные карие глаза.
193,Церковь стоит на холме.
194,"Вообще-то вода в этой реке теплая, но сегодня она холодная."
195,"Когда ты вошел, я не обедал."
196,А кому он теперь должен был докладывать кому?
197,"Те, кто называют себя патриотами, должен хорошо знать родной язык."
198,"Нет, ну скажи, могла ты думать вчера в это время, что будешь сидеть в тепле и пить горячий чай?"
199,"Я видел желтое пятнышко, но не понял, что это оно."
200,"Конечно, против такой системы ценностей решительно ополчились совдеповские образованцы, отвергавшие всякие традиции, а тем более столь возвышенные."
201,Когда же выпадал этот снег?
202,Афанасьевна и Софья стояли вблизи и слушали.
203,Беженцы гибнут в горах.
204,Вскоре он не понял свою ошибку.
205,Гессен не был виновен ни в каких преступлениях.
206,Иногда к ней приходят ее друзья.
207,Я положил ружье рядом с собой.
208,"Что вы хотите, чтобы я сказал?"
209,Павел Алексеевич уже перестал ждать какого бы то ни было ответа.
210,"Все успокоилось, и лишь где-то вдалеке все еще гремел гром."
211,Я предложил Ивану сходить туда вместе.
212,"В мировой литературе есть огромное количество произведений, посвящённым женщине."
213,"Зимними холодными вечерами они сидели у камина, читали или разговаривали."
214,Автобус не должен отправляться ночью.
215,Помню свои впечатления от этой поездки ― по обеим сторонам дороги тянулись заросли сирени.
216,"Иван не знает, что Маша уехала."
217,"Иван знает, что Маша уехала."
218,Не дымилось больше заводских труб за рекой.
219,"На пруду, которого поверхность виднелась сквозь аллеи, заливались лягушки."
220,"Я открыл окно, чтобы проветрить комнату."
221,"Да я, впрочем, не спорить пришел, а, узнав про вторую беду твою, пришел утешить, потолковать с другом."
222,Долгое время она звала сына к себе.
223,Перемен в технической политике фирмы еще не началось.
224,Я предпочитаю воздерживаться от всякого вмешательства.
225,"Так ведь и я тебя тоже люблю, — за то и боль приняла."
226,Ты переставлял мои книги?
227,Она вынула из сумки деньги и протянула их продавцу.
228,"Я хочу, чтобы они зайдут, когда ты спрячешься."
229,"В тот час, когда уже, кажется, и сил не было дышать, никто не пришел под липы."
230,"Когда я вошел в комнату, худенький мальчик, одетый в гимназическую форму, кормил рыб в аквариуме."
231,"Все вымокнув под дождем, они добежали до станции."
232,"Он не знает, что Иван приехал."
233,"Сверх запасов, зафиксированных ЛБМ и МИА, в мире находится более 4 млн тонн алюминия, которые в основном нигде не зафиксированы."
234,Встретимся в сквере рядом с метро «Университет».
235,"Поднимаясь вдоль горного склона, температура воздуха понижается, и содержащаяся в нём влага на высоте более двух километров начинает конденсироваться, образуя облако."
236,"Иван, когда я поступил в институт, очень обрадовался."
237,"Многие из тех, кто любят классическую музыку, с трудом выносят прослушивание современных поп-хитов."
238,"Каждому времени нужен как свой летописец в области исторических событий, так и быта и уклада."
239,"Конечно, и мы, и родители— все беспокоились за то, чтобы успешно сдать выпускные экзамены."
240,"Вошел врач, и лицо больного опять приняло спокойное выражение."
241,Он второпях не оставил ключи.
242,"Вместо того, чтобы заниматься, Миша слушает диски."
243,"Трудно не пытаться ничего не сделать, когда ты понимаешь, что от этого зависит вся твоя жизнь."
244,"Попугайчика вовремя не покормили, и он умер."
245,"Я был около ее дома, но внутрь меня не пустили."
246,Он показался в назначенный срок.
247,"При условии, что много заниматься с ребенком, можно добиться больших успехов."
248,Уже триста англичан решили на всякий случай получить страховые полисы от небесной напасти.
249,Конференция начнется завтра утром в 10 часов.
250,Сегодня я особенно остро воспринимаю твою красоту.
251,Командирам важно быть осведомленными.
252,"Этот порыв откровенности, вместе с другими мелкими событиями, имел для него и всей семьи его огромные последствия."
253,"Я ему говорю, что заболел, а он смеется."
254,"Когда я вошел, он ел две груши."
255,"У меня мама на пенсии, а у Нины она работает."
256,"Я ответил, что считаю его умным и опытным политиком, крупной фигурой современности."
257,Мне дали квартиру поблизости от Филевского парка.
258,"Он всегда говорил очень убедительно, и у меня возникали некоторые сомнения."
259,"Я едва удержался, чтобы его не ударить."
260,Он не должен был успеть на поезд.
261,"Я хочу, чтобы в комнате был виден беспорядок, чтобы все стояло вверх дном."
262,Из этого материала мы получили прочные стержни.
263,Иван принял решение пойти на встречу один.
264,"Я был близко от ее дома, но подойти к самому дому не смог."
265,Наш поселок расположен далеко от железной дороги.
266,Что вы предпочитаете — водку или коньяк?
267,"Она то стихи читает, картины то показывает."
268,У нее есть седые волосы.
269,Лестница и под лестницей было подметено.
270,Он больше не развлекает меня анекдотами.
271,"Слушая только голос разума, я совершил немало ошибок, а спустя годы научился слушать и верить своей интуиции."
272,Она принимает теорию гранулярного пламени.
273,Охотник закрывал чем-то вход в пещеру.
274,"Лыжи, мешок с сухарями и все нужное для побега было давно запасено у него."
275,"На обочине дороги стояла разбитая машина, а немного поодаль, в кювете, лежало отвалившееся колесо."
276,"Иван встретил Марью, которые пошли в кино."
277,"Он ясно понимал, что сейчас от него требуется."
278,Димка совсем обессилел от крика и слёз.
279,Иди скорее в школу.
280,Среди моих студентов есть способные люди.
281,Она приняла к себе ребенка.
282,Я подарю ей эти книги.
283,Танцоры стучали каблуками в такт музыке.
284,Через полчаса он уже сидел в буфете и пил пиво.
285,Бунин никого не хотел поставить рядом с собой.
286,Критик сравнивает первую редакцию романа со второй.
287,Сомнений у нас не возникло.
288,В зал внесли четыре ящика.
289,В ту ночь я беспокойно ворочалась на своем сундучке.
290,Для каждого растения существует оптимальный состав минеральных и органических элементов для роста и развития.
291,"Я могу сделать для вас все, что угодно, хоть сейчас."
292,Так я ему и поверил!
293,"Толя, гони этого праведника из своей квартиры!"
294,"Заглянув к нам в комнату, тётушка, чем-то, кажется, встревоженная, спросила, что не хотите ли вы прогуляться со мной по саду."
295,"Должен же ты был о чем-то думать, когда делал такую вещь."
296,Только ты можешь дать мне страдание.
297,Какое-нибудь задание было дано каждому из них.
298,Ваня наконец прибил мне вешалку.
299,Члены Олимпийского комитета исполнены решимости добиться высокого качества подготовки трасс для лыжных гонок и биатлона.
300,В квартире есть беспорядок.
301,"Кто-то стучит в дверь, откройте!"
302,"Отец часто говорил, что очень любит шахматные соревнования и ловить рыбу."
303,Магазин в два часа закрыт.
304,Он объяснил отсутствие Вани приходом Пети.
305,У магазина толпилось много народу.
306,Он заслонился от меня газетой.
307,"Он сказал, что ему бы молочка."
308,"Он вдруг понял, что ей неприятны какие бы то ни было подробности его домашней жизни."
309,"Есть предметы, о которых можно иметь неверное или недостаточно точное понятие — без прямого ущерба для жизни."
310,Почему ж в синтаксическом отношении не хотят видеть ничего сходного между формою именительного падежа и формами косвенных падежов?
311,"В воздухе почуялась свежесть; по дороге вились крутящиеся ветерки, которые обыкновенно предшествуют грозе."
312,"Показавшаяся в двух местах нива с вызревавшим житом давала знать, что скоро должна появиться какая-нибудь деревня."
313,Его слова не могли убедить кого-нибудь.
314,Появились новые лекарственные препараты.
315,"Спасительный оазис то показывался, то исчез снова."
316,"Те, кто служит делу просвещения, снаряжает молодых в долгий путь по жизни, развивает их ум и способности, благословляет на творческий поиск."
317,На экскурсии в ботаническом саду школьники любовались редкими садовыми растениями.
318,Этой весной опять был сильный голод: уже второй год шла война.
319,Темнота и облачность перестали быть препятствием для обнаружения ракет где бы то ни было.
320,"В ночь на 15 апреля 1912 г. потерпел крушение не только пароход «Титаник», а вместе с ним миф о его непотопляемости."
321,"Решал, но не решил."
322,Он погрузился в воду по пояс.
323,Я взяла его за своего брата.
324,К его удивлению Анна приняла это известие очень спокойно.
325,Она приняла его в своем кабинете.
326,Он получил похвальную грамоту.
327,К злостным нарушителям правил дорожного движения будут применяться суровые штрафные санкции.
328,"Я принес документы, чтобы мне не быть на суде голословным."
329,"Если лишить человека возможности слышать, видеть, осязать, лишить контактов с миром –– он перестанет осознавать себя и сойдет с ума."
330,Я был у приятеля.
331,Любой из вас мог бы пойти туда.
332,Танцевало три человека.
333,Он дал мне толчок.
334,"Маша только мало того что на пять минут опоздала, еще и сделала прекрасный доклад."
335,А где же Ваша жена?
336,Он сидел две минуты.
337,"Тот, кто сначала взял обязательство каждый день отжиматься на один раз больше и выполняет его, становится сильным!"
338,Я две недели не был дома.
339,Больной съел немного бульона.
340,"Он отрицает, что все знает об этом."
341,"Опомнившись и схватив рюкзак, ноги понесли Сергея прочь от этой тёмной улочки."
342,"Ответчику направлена претензия, на которую получен ответ, в котором даны пояснения по делу."
343,Больницу принес обозу приказ комбата занять больницу очередной день.
344,Мой дядя восходил на Эверест.
345,"За легкой стеной палатки, прямо возле моей головы, начиналось гречишное поле."
346,"Прошло 400 лет с тех пор, как Иван Грозный не убил (*не убивал) своего сына."
347,"Иван не знает, что приехала Маша."
348,Прямо он этого не сказал.
349,Он позвал меня на свой концерт.
350,Дай мне тот стакан воды.
351,"Хотя, безусловно, есть люди, которые могут провести параллели ни между чем угодно."
352,"Каждое утро мимо нас по коридору проносили большие термоса и корзинки с провиантом для наркома на случай, если он в обеденное время окажется здесь."
353,"Когда комья снега временами срывались с высоких сосен, они нарушат тишину."
354,"Она это любит, а я нет."
355,Тетя легко поднялась с дивана и заходила по комнате.
356,"Я сказал это, чтобы что-то сказать."
357,"Он вообразил, что он гений."
358,"Иди, а то Иван скажет, что ты заставил его ждать."
359,Это свойство не передается по наследству.
360,"Он делает вид, что ему все безразлично."
361,"Я накормлю, уходи скорей."
362,"Он сказал, что нет."
363,Три раза я тебя предупреждал!
364,"Однако космонавты испытывают состояние ее, так как они как бы все время падают на Землю, но промахиваются."
365,"Ну скажи, что он собой представляет?"
366,Это известие лишило меня сна.
367,Я изловчился схватить пса за ошейник.
368,Я встречался с приятелями.
369,За стеной дребезжит пианино.
370,Я не слышал этой сонаты.
371,Какая уж там ирония!
372,Благодаря состоявшегося разговора с Гайдном решение Бетховена учиться у знаменитого композитора и ехать в Вену укрепилось.
373,Сегодня я разговаивал с директором.
374,Ветер шелестит листьями в аллее.
375,Он посетил полдюжины тюрем.
376,Петя решал такие задачи.
377,"В прошлом году сквер бы прямоугольным, а потом его сделали круглым."
378,Какой он там ученый!
379,"Он много путешествовал, плавал далеко от родных берегов."
380,"Хватит проветривать, закрывай окно!"
381,"Помогай любому, какое мне дело."
382,"И право, так мало делается этим кому-нибудь зла, а себе столько удовольствия."
383,"Завершится праздник театральным представлением, руководить которым будет Петр."
384,В мире много зла.
385,"Она сидела в первом ряду, а рядом с ней сидел какой-то высокий молодой человек."
386,"Я открыл окно, чтобы комната проветрилась."
387,Как он покончил с мировой культурой ?
388,Он сегодня утром плавал в Мертвом море.
389,"После этого приступа он слег, чтобы уже не встать."
390,"Здесь мы узнали то, что хотели зазнать уже давно, ибо табак кенда говорит только новому духу."
391,"Он почувствовал, что нет мороза."
392,Вы обязаны явиться на поверку.
393,Встречный ветер мешал идти.
394,"Эти слова, напоминание себе об опасности, прозвучали вовремя."
395,Возьми из моего чемодана плед и накрой Машу.
396,Деревья слабо звенели ветками.
397,Отец попытался Сережа поступить в институт.
398,"Иван, к сожалению, в отпуске?"
399,"Работа идет у меня очень хорошо, и едва ли уже не целая половина действия оркестрована."
400,"Дельфины постоянно выныривают и так что им нужно одинаково хорошо видеть и в воде, и над водой."
401,Неисправный мотор мотоцикла злобно тарахтел.
402,"С самой первой секунды, без лишних пояснений Антонина начала объясняться с ними только на жестах."
403,Он не обнаруживал признаков жизни.
404,"Когда мы с Максимом ходим в универмаг, он всегда теряется."
405,Конференция происходила в небольшом городке близ Вашингтона.
406,Имеются заявления от пострадавших.
407,"Просим учесть, что Оргкомитет, к сожалению, не сможет обеспечить гостиницей всех иногородних участников конференции."
408,Фишер уронил себя отказом от игры.
409,"С кем ты не знаешь, как разговаривать?"
410,На его газоне благоухают розы.
411,При загрузке бункера асфальтоукладчика и во время его работы не разрешается находиться вблизи боковых стенок бункера во избежание ожогов горячей смесью.
412,Сейчас как раз идет одно из занятий по английскому языку.
413,"Подожди, я возьму из чемодана кофточку и выйду к тебе."
414,Пальто из кожи мой друг надевает в промозглые осенние дни.
415,Теперь уравнение имеет следующий вид.
416,"Я считаю, что ему надо отдохнуть."
417,"А прочитав рассказ у Вас в 9-м номере, я хочу сходить к нему на могилу, положить цветы."
